2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 🖥️ 사용 디바이스: cuda
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO |    GPU: NVIDIA GeForce RTX 2070 SUPER
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO |    VRAM: 8.0GB
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 🔄 Claude API 모드 감지 - 독립 워크플로우로 전환...
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 📌 REDHEART_CLAUDE_MODE 환경변수 설정 - 로컬 LLM 엔진 비활성화
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 📌 전역 모듈 사전 초기화 중...
2025-09-11 09:39:08 | local_translator | INFO | LocalTranslator 생성 - lazy loading 모드
2025-09-11 09:39:08 | RedHeart.Config | INFO | 🔥 register_system_module 호출: module_id=translator, instance_type=<class 'local_translator.LocalTranslator'>, config_section=None
2025-09-11 09:39:08 | RedHeart.Config | INFO | 🔥 모듈 인스턴스 등록 (config_section 없음): translator -> <class 'local_translator.LocalTranslator'>
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO |    ✅ 번역기 전역 등록 완료
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 📌 Claude 모드 환경변수 설정: REDHEART_CLAUDE_MODE=1
2025-09-11 09:39:08 | RedHeart.MainUnified | INFO | 📌 Claude Inference 직접 실행: text=AI 윤리 문제 완전 해결 테스트, epoch=50, debug=True
2025-09-11 09:39:08 | ClaudeInference | INFO | ======================================================================
2025-09-11 09:39:08 | ClaudeInference | INFO | 🚀 Claude API 독립 추론 시스템 초기화
2025-09-11 09:39:08 | ClaudeInference | INFO | ======================================================================
2025-09-11 09:39:08 | ClaudeInference | INFO | 📌 에폭: 50
2025-09-11 09:39:08 | ClaudeInference | INFO | 📌 디바이스: cuda
2025-09-11 09:39:08 | ClaudeInference | INFO | 📌 디버그 모드: True
2025-09-11 09:39:08 | ClaudeInference | INFO | 
📦 Phase 1: UnifiedModel 로드...
2025-09-11 09:39:11 | sentence_transformer_singleton | INFO | SentenceTransformerManager 초기화 완료 (Subprocess Server 기반)
2025-09-11 09:39:11 | training.enhanced_checkpoint_manager | INFO |   - 기존 메타데이터 로드: 30개 체크포인트
2025-09-11 09:39:11 | training.enhanced_checkpoint_manager | INFO | ✅ Enhanced CheckpointManager 초기화
2025-09-11 09:39:11 | training.enhanced_checkpoint_manager | INFO |   - 저장 디렉토리: training/checkpoints_final
2025-09-11 09:39:11 | training.enhanced_checkpoint_manager | INFO |   - 최대 체크포인트: 30개
2025-09-11 09:39:11 | training.enhanced_checkpoint_manager | INFO |   - 저장 간격: 1 에폭마다
2025-09-11 09:39:12 | unified_backbone | INFO | 백본 총 파라미터: 90,624,132 (90.62M)
2025-09-11 09:39:12 | unified_backbone | INFO | 학습 가능 파라미터: 90,624,132 (90.62M)
2025-09-11 09:39:12 | unified_heads | INFO | 감정 헤드 파라미터: 17,254,583 (17.25M)
2025-09-11 09:39:12 | unified_heads | INFO | 벤담 헤드 파라미터: 13,871,919 (13.87M)
2025-09-11 09:39:12 | unified_heads | INFO | 후회 헤드 파라미터: 19,897,161 (19.90M)
2025-09-11 09:39:12 | unified_heads | INFO | SURD 헤드 파라미터: 12,025,739 (12.03M)
2025-09-11 09:39:13 | analyzer_neural_modules | INFO | NeuralEmotionAnalyzer 초기화: 122,595,407 파라미터
2025-09-11 09:39:13 | analyzer_neural_modules | INFO | NeuralBenthamCalculator 초기화: 78,281,602 파라미터
2025-09-11 09:39:14 | analyzer_neural_modules | INFO | NeuralRegretAnalyzer 초기화: 153,872,666 파라미터
2025-09-11 09:39:14 | analyzer_neural_modules | INFO | NeuralSURDAnalyzer 초기화: 13,473,032 파라미터
2025-09-11 09:39:14 | analyzer_neural_modules | INFO | 전체 신경망 분석기 파라미터: 368,222,707 (368.2M)
2025-09-11 09:39:18 | emotion_dsp_simulator | INFO | EmotionDSPSimulator 초기화 완료 (~14M 파라미터)
2025-09-11 09:39:18 | ClaudeInference | INFO |    체크포인트 로드: training/checkpoints_final/checkpoint_epoch_0050_lr_0.000009_20250827_154403.pt
2025-09-11 09:39:43 | ClaudeInference | INFO |    ✅ UnifiedModel 로드 완료
2025-09-11 09:39:43 | ClaudeInference | INFO |    - Epoch: 50
2025-09-11 09:39:43 | ClaudeInference | INFO |    - LR: 9.261697283911905e-06
2025-09-11 09:39:43 | ClaudeInference | INFO | 
📦 Phase 2: 번역기 로드...
2025-09-11 09:39:43 | ClaudeInference | INFO |    ⚠️ Claude 모드 - 번역기 로드 스킵 (Claude API 다국어 지원)
2025-09-11 09:39:43 | ClaudeInference | INFO | 
📦 Phase 3: Neural Analyzers 로드...
2025-09-11 09:39:44 | analyzer_neural_modules | INFO | NeuralEmotionAnalyzer 초기화: 122,595,407 파라미터
2025-09-11 09:39:44 | analyzer_neural_modules | INFO | NeuralBenthamCalculator 초기화: 78,281,602 파라미터
2025-09-11 09:39:45 | analyzer_neural_modules | INFO | NeuralRegretAnalyzer 초기화: 153,872,666 파라미터
2025-09-11 09:39:45 | analyzer_neural_modules | INFO | NeuralSURDAnalyzer 초기화: 13,473,032 파라미터
2025-09-11 09:39:45 | ClaudeInference | INFO |    ✅ Neural Analyzers 로드 완료 (CPU)
2025-09-11 09:39:45 | ClaudeInference | INFO | 
📦 Phase 4: Advanced Wrappers 로드...
2025-09-11 09:40:35 | RedHeart.Config | INFO | GPU 직접 사용: None (사용률: 17.4%, 필요: 500MB)
2025-09-11 09:40:35 | RedHeartLinux.AdvancedEmotion | INFO | 감정 임베딩 모델 초기화 시작...
2025-09-11 09:40:35 | sentence_transformer_singleton | INFO | 새 클라이언트 생성 시작: sentence-transformers/paraphrase-multilingual-mpnet-base-v2_cuda
2025-09-11 09:40:36 | sentence_transformer_client | INFO | 현재 Python이 venv 환경: /mnt/c/large_project/linux_red_heart/red_heart_env/bin/python3
2025-09-11 09:40:36 | sentence_transformer_client | INFO | SentenceTransformer Client 초기화: /mnt/c/large_project/linux_red_heart/sentence_transformer_server.py
2025-09-11 09:40:36 | sentence_transformer_client | INFO | Python 실행파일: /mnt/c/large_project/linux_red_heart/red_heart_env/bin/python3
2025-09-11 09:40:36 | sentence_transformer_singleton | INFO | 서버 시작 및 모델 로딩: sentence-transformers/paraphrase-multilingual-mpnet-base-v2 (device: cuda)
2025-09-11 09:40:36 | sentence_transformer_client | INFO | SentenceTransformer 서버 시작: /mnt/c/large_project/linux_red_heart/sentence_transformer_server.py
2025-09-11 09:40:36 | sentence_transformer_client | INFO | PYTHONPATH: /mnt/c/large_project/linux_red_heart/red_heart_env/lib/python3.12/site-packages:/mnt/c/large_project/linux_red_heart
2025-09-11 09:40:36 | sentence_transformer_client | INFO | VIRTUAL_ENV: /mnt/c/large_project/linux_red_heart/red_heart_env
2025-09-11 09:40:36 | sentence_transformer_client | INFO | stderr 드레인 스레드 시작
2025-09-11 09:40:36 | sentence_transformer_client | INFO | stderr 드레인 스레드 생성 완료
2025-09-11 09:40:45 | sentence_transformer_client | INFO | 서버 연결 성공
2025-09-11 09:40:45 | sentence_transformer_client | INFO | 모델 로딩 요청: sentence-transformers/paraphrase-multilingual-mpnet-base-v2 (device: cuda)
2025-09-11 09:41:58 | sentence_transformer_client | INFO | 모델 로딩 성공: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2025-09-11 09:41:58 | sentence_transformer_singleton | INFO | 클라이언트 생성 및 모델 로딩 성공: sentence-transformers/paraphrase-multilingual-mpnet-base-v2_cuda
2025-09-11 09:41:58 | sentence_transformer_singleton | INFO | 새 클라이언트 생성 시작: jhgan/ko-sroberta-multitask_cuda
2025-09-11 09:41:58 | sentence_transformer_client | INFO | 현재 Python이 venv 환경: /mnt/c/large_project/linux_red_heart/red_heart_env/bin/python3
2025-09-11 09:41:58 | sentence_transformer_client | INFO | SentenceTransformer Client 초기화: /mnt/c/large_project/linux_red_heart/sentence_transformer_server.py
2025-09-11 09:41:58 | sentence_transformer_client | INFO | Python 실행파일: /mnt/c/large_project/linux_red_heart/red_heart_env/bin/python3
2025-09-11 09:41:58 | sentence_transformer_singleton | INFO | 서버 시작 및 모델 로딩: jhgan/ko-sroberta-multitask (device: cuda)
2025-09-11 09:41:58 | sentence_transformer_client | INFO | SentenceTransformer 서버 시작: /mnt/c/large_project/linux_red_heart/sentence_transformer_server.py
2025-09-11 09:41:58 | sentence_transformer_client | INFO | PYTHONPATH: /mnt/c/large_project/linux_red_heart/red_heart_env/lib/python3.12/site-packages:/mnt/c/large_project/linux_red_heart
2025-09-11 09:41:58 | sentence_transformer_client | INFO | VIRTUAL_ENV: /mnt/c/large_project/linux_red_heart/red_heart_env
2025-09-11 09:41:58 | sentence_transformer_client | INFO | stderr 드레인 스레드 시작
2025-09-11 09:41:58 | sentence_transformer_client | INFO | stderr 드레인 스레드 생성 완료
2025-09-11 09:42:08 | sentence_transformer_client | INFO | 서버 연결 성공
2025-09-11 09:42:08 | sentence_transformer_client | INFO | 모델 로딩 요청: jhgan/ko-sroberta-multitask (device: cuda)
2025-09-11 09:43:18 | sentence_transformer_client | INFO | 모델 로딩 성공: jhgan/ko-sroberta-multitask
2025-09-11 09:43:18 | sentence_transformer_singleton | INFO | 클라이언트 생성 및 모델 로딩 성공: jhgan/ko-sroberta-multitask_cuda
2025-09-11 09:43:18 | RedHeartLinux.AdvancedEmotion | INFO | 임베딩 모델 로드 완료 (싱글톤): sentence-transformers/paraphrase-multilingual-mpnet-base-v2, jhgan/ko-sroberta-multitask
2025-09-11 09:43:18 | RedHeartLinux.AdvancedEmotion | INFO | 임베딩 모델 초기화 완료: 2 모델 로드됨
2025-09-11 09:43:18 | RedHeart.Config | INFO | 🔍 get_system_module 호출: module_id=translator
2025-09-11 09:43:18 | RedHeart.Config | INFO | 🔍 현재 등록된 모듈들: ['translator']
2025-09-11 09:43:18 | RedHeart.Config | INFO | 🔍 결과: <class 'local_translator.LocalTranslator'>
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | ✅ 감정 분석기 강화 모듈 통합: 56.4M 파라미터 추가
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | 감정 분석용 MoE 시스템 초기화 완료 (4개 전문가)
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO |   - emotion_moe 타입: <class 'mixture_of_experts.MixtureOfExperts'>
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO |   - emotion_moe None 여부: False
2025-09-11 09:43:19 | emotion_dsp_simulator | INFO | EmotionDSPSimulator 초기화 완료 (~14M 파라미터)
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO |   - 칼만 필터 차원: 17개 감정
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | ✅ DSP 시뮬레이터와 칼만 필터 초기화 완료
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO |   - DSP 시뮬레이터: 20M 파라미터
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO |   - 칼만 필터: 융합용
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | 계층적 감정 모델 초기화 완료
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | 📌 Claude 모드 감지 - 로컬 LLM 엔진 비활성화
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | 고급 감정 분석 시스템이 초기화되었습니다.
2025-09-11 09:43:19 | RedHeartLinux.AdvancedEmotion | INFO | 🔍 hierarchical_model이 이미 존재함
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - biometric_processor 등록 (10M)
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - multimodal_fusion 등록 (10M)
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - temporal_emotion 등록 (10M)
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - cultural_nuance 등록 (13M)
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - advanced_moe 등록 (5M)
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO |   - emotion_moe 등록
2025-09-11 09:43:19 | advanced_analyzer_wrappers | INFO | ✅ Advanced Emotion Analyzer Wrapper 초기화 (48M 파라미터)
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | ✅ 벤담 계산기 강화 모듈 통합: 72.8M 파라미터 추가
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | 벤담 계산기 윤리 MoE 시스템 초기화 완료 (4개 전문가, input_dim=512)
2025-09-11 09:43:20 | dynamic_gpu_manager | INFO | Dynamic GPU Manager initialized - Total GPU Memory: 8.0GB
2025-09-11 09:43:20 | RedHeart.ThreeViewScenarioSystem | INFO | 3뷰 시나리오 시스템 GPU 메모리 관리 활성화
2025-09-11 09:43:20 | RedHeart.ThreeViewScenarioSystem | INFO | 3뷰 시나리오 시스템 초기화 완료 (온디맨드 로딩 방식)
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | 벤담 계산기 3뷰 시나리오 시스템 초기화 완료
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | 신경망 가중치 예측기 로딩 중...
2025-09-11 09:43:20 | RedHeart.Config | INFO | GPU 직접 사용: None (사용률: 24.4%, 필요: 100MB)
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | 신경망 가중치 예측기 로드: cuda (100MB)
2025-09-11 09:43:20 | RedHeart.AdvancedBenthamCalculator | INFO | 메모리 사용량: RAM 3029MB, GPU 1998MB
2025-09-11 09:43:20 | dynamic_gpu_manager | INFO | Dynamic GPU Manager initialized - Total GPU Memory: 8.0GB
2025-09-11 09:43:20 | RedHeart.PhaseControllerHook | INFO | PhaseController Hook GPU 메모리 관리 활성화
