2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | 🖥️ 사용 디바이스: cuda
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO |    GPU: NVIDIA GeForce RTX 2070 SUPER
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO |    VRAM: 8.0GB
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | ✨ Red Heart AI 통합 추론 시스템 초기화
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | ======================================================================
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | 🚀 시스템 초기화 시작...
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | ======================================================================
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | 📦 지정된 메모리 모드: medium
2025-09-05 11:14:56 | RedHeart.MainUnified | INFO | 🔄 Dynamic Swap Manager 초기 초기화...
2025-09-05 11:15:47 | workflow_aware_memory_manager | INFO | ✅ HF 모델 래퍼와 메모리 매니저 통합 완료
2025-09-05 11:15:47 | dynamic_swap_manager | INFO | RedHeartDynamicSwapManager 초기화 완료
2025-09-05 11:15:47 | dynamic_swap_manager | INFO | [DSM] Global swap manager set -> id=133258271898176
2025-09-05 11:15:47 | RedHeart.MainUnified | INFO |    ✅ DSM 초기화 완료 (ID: 133258271898176)
2025-09-05 11:15:47 | RedHeart.MainUnified | INFO | 📦 UnifiedModel 로드 중...
2025-09-05 11:15:48 | sentence_transformer_singleton | INFO | SentenceTransformerManager 초기화 완료 (Subprocess Server 기반)
2025-09-05 11:15:48 | training.enhanced_checkpoint_manager | INFO |   - 기존 메타데이터 로드: 30개 체크포인트
2025-09-05 11:15:48 | training.enhanced_checkpoint_manager | INFO | ✅ Enhanced CheckpointManager 초기화
2025-09-05 11:15:48 | training.enhanced_checkpoint_manager | INFO |   - 저장 디렉토리: training/checkpoints_final
2025-09-05 11:15:48 | training.enhanced_checkpoint_manager | INFO |   - 최대 체크포인트: 30개
2025-09-05 11:15:48 | training.enhanced_checkpoint_manager | INFO |   - 저장 간격: 1 에폭마다
2025-09-05 11:15:48 | unified_backbone | INFO | 백본 총 파라미터: 90,624,132 (90.62M)
2025-09-05 11:15:48 | unified_backbone | INFO | 학습 가능 파라미터: 90,624,132 (90.62M)
2025-09-05 11:15:48 | unified_heads | INFO | 감정 헤드 파라미터: 17,254,583 (17.25M)
2025-09-05 11:15:48 | unified_heads | INFO | 벤담 헤드 파라미터: 13,871,919 (13.87M)
