sample_id,text_length,regret_factor,emotion_joy,emotion_anger,emotion_surprise,emotion_disgust,emotion_sadness,emotion_shame,emotion_fear,bentham_intensity,bentham_duration,bentham_certainty,bentham_propinquity,surd_selection,surd_uncertainty,surd_risk,surd_decision
0,500,0.15,0.1,0.05,0.15,0.05,0.2,0.25,0.2,0.3,0.6,0.8,0.9,0.7,0.3,0.2,0.4
1,500,0.7,0.05,0.15,0.2,0.05,0.25,0.15,0.15,0.6,0.8,0.9,0.7,0.8,0.6,0.7,0.8
2,500,0.4,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.45,0.3,0.65,0.8,0.7,0.4,0.3,0.35
3,500,0.4,0.2,0.1,0.15,0.1,0.25,0.1,0.1,0.6,0.7,0.5,0.8,0.7,0.4,0.3,0.6
4,500,0.4,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.4,0.7,0.9,0.6,0.4,0.7,0.5
5,500,0.3,0.05,0.02,0.35,0.08,0.25,0.15,0.1,0.7,0.8,0.6,0.9,0.7,0.4,0.8,0.9
6,500,0.3,0.05,0.1,0.3,0.05,0.15,0.15,0.2,0.6,0.4,0.7,0.9,0.7,0.5,0.8,0.7
7,500,0.4,0.1,0.15,0.25,0.2,0.15,0.1,0.05,0.3,0.6,0.4,0.8,0.7,0.8,0.6,0.7
8,500,0.3,0.1,0.15,0.05,0.05,0.3,0.2,0.15,0.4,0.6,0.8,0.7,0.6,0.3,0.2,0.4
9,500,0.2,0.1,0.05,0.15,0.2,0.2,0.2,0.1,0.6,0.7,0.4,0.8,0.5,0.8,0.6,0.7
10,500,0.4,0.05,0.02,0.15,0.08,0.2,0.3,0.2,0.7,0.3,0.8,0.9,0.3,0.6,0.4,0.7
11,500,0.4,0.3,0.2,0.15,0.05,0.15,0.1,0.05,0.4,0.7,0.8,0.9,0.6,0.4,0.5,0.7
12,500,0.4,0.05,0.1,0.25,0.2,0.2,0.1,0.1,0.4,0.3,0.7,0.9,0.3,0.6,0.2,0.4
13,500,0.3,0.05,0.1,0.2,0.05,0.25,0.15,0.2,0.7,0.9,0.6,0.8,0.7,0.6,0.8,0.9
14,500,0.65,0.05,0.1,0.15,0.05,0.3,0.15,0.2,0.7,0.8,0.4,0.9,0.4,0.7,0.8,0.9
15,351,0.4,0.15,0.05,0.2,0.1,0.2,0.1,0.2,0.3,0.4,0.7,0.9,0.8,0.4,0.3,0.5
16,500,0.85,0.1,0.05,0.2,0.05,0.35,0.1,0.15,0.9,0.95,0.7,0.4,0.2,0.8,0.9,0.95
17,500,0.1,0.3,0.1,0.15,0.05,0.2,0.1,0.1,0.7,0.8,0.6,0.9,0.8,0.3,0.4,0.7
18,500,0.4,0.05,0.15,0.25,0.05,0.25,0.15,0.1,0.7,0.8,0.6,0.9,0.4,0.7,0.8,0.9
19,500,0.4,0.1,0.15,0.2,0.05,0.2,0.2,0.1,0.3,0.6,0.7,0.8,0.8,0.4,0.3,0.5
20,500,0.3,0.05,0.1,0.1,0.15,0.2,0.2,0.2,0.6,0.4,0.8,0.9,0.7,0.4,0.3,0.5
21,500,0.75,0.05,0.15,0.25,0.05,0.3,0.1,0.1,0.7,0.85,0.6,0.9,0.3,0.8,0.65,0.7
22,500,0.8,0.1,0.15,0.2,0.05,0.25,0.1,0.15,0.6,0.4,0.7,0.9,0.7,0.8,0.6,0.7
23,500,0.15,0.05,0.1,0.05,0.1,0.2,0.2,0.3,0.7,0.4,0.8,0.9,0.8,0.3,0.4,0.6
24,500,0.15,0.05,0.08,0.22,0.12,0.25,0.15,0.13,0.75,0.85,0.7,0.9,0.35,0.8,0.85,0.75
25,497,0.4,0.05,0.08,0.15,0.07,0.25,0.2,0.2,0.65,0.8,0.7,0.9,0.4,0.6,0.7,0.75
26,500,0.6,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.4,0.3,0.7,0.8,0.7,0.6,0.5,0.6
27,500,0.3,0.1,0.15,0.2,0.1,0.2,0.15,0.1,0.4,0.6,0.5,0.8,0.6,0.7,0.4,0.5
28,500,0.4,0.05,0.1,0.25,0.1,0.3,0.1,0.1,0.6,0.7,0.3,0.8,0.4,0.8,0.7,0.9
29,500,0.4,0.05,0.1,0.15,0.05,0.25,0.2,0.2,0.6,0.7,0.8,0.9,0.7,0.4,0.5,0.3
30,500,0.85,0.05,0.15,0.2,0.0,0.3,0.1,0.2,0.65,0.8,0.7,0.9,0.4,0.7,0.8,0.9
31,500,0.4,0.15,0.1,0.25,0.05,0.3,0.05,0.1,0.6,0.8,0.5,0.7,0.8,0.7,0.6,0.9
32,500,0.65,0.05,0.15,0.2,0.1,0.25,0.15,0.1,0.7,0.8,0.6,0.9,0.7,0.8,0.75,0.85
33,500,0.3,0.1,0.15,0.2,0.05,0.2,0.2,0.1,0.4,0.7,0.6,0.8,0.6,0.4,0.5,0.7
34,500,0.15,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.4,0.7,0.9,0.7,0.4,0.5,0.8
35,500,0.15,0.05,0.0,0.1,0.0,0.15,0.4,0.3,0.7,0.8,0.6,0.9,0.7,0.4,0.5,0.8
36,500,0.2,0.15,0.05,0.25,0.05,0.2,0.2,0.1,0.7,0.6,0.8,0.9,0.8,0.3,0.7,0.9
37,500,0.15,0.05,0.1,0.25,0.05,0.2,0.15,0.2,0.7,0.8,0.9,0.9,0.3,0.4,0.7,0.8
38,500,0.15,0.35,0.25,0.15,0.05,0.12,0.05,0.03,0.8,0.9,0.85,0.9,0.9,0.2,0.15,0.7
39,500,0.4,0.05,0.02,0.15,0.08,0.2,0.2,0.3,0.7,0.6,0.9,0.8,0.6,0.3,0.7,0.8
40,500,0.2,0.05,0.1,0.15,0.05,0.15,0.35,0.15,0.7,0.8,0.6,0.4,0.8,0.4,0.6,0.7
41,500,0.85,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.7,0.8,0.6,0.4,0.7,0.6,0.4,0.8
42,500,0.7,0.05,0.15,0.25,0.05,0.25,0.15,0.1,0.8,0.9,0.7,0.9,0.3,0.6,0.8,0.7
43,500,0.4,0.05,0.02,0.25,0.08,0.3,0.15,0.15,0.7,0.8,0.9,0.3,0.6,0.3,0.8,0.7
44,500,0.65,0.1,0.05,0.2,0.15,0.25,0.1,0.15,0.4,0.3,0.5,0.9,0.4,0.7,0.5,0.3
45,500,0.3,0.15,0.1,0.25,0.05,0.2,0.15,0.1,0.6,0.7,0.4,0.9,0.4,0.8,0.7,0.6
46,500,0.4,0.1,0.15,0.2,0.05,0.3,0.1,0.1,0.6,0.3,0.7,0.9,0.6,0.4,0.5,0.7
47,500,0.3,0.15,0.1,0.2,0.05,0.2,0.15,0.15,0.6,0.7,0.8,0.9,0.8,0.5,0.6,0.8
48,500,0.25,0.05,0.02,0.15,0.08,0.35,0.15,0.2,0.65,0.7,0.85,0.9,0.4,0.55,0.3,0.65
49,500,0.75,0.05,0.15,0.12,0.03,0.35,0.15,0.15,0.7,0.8,0.9,0.8,0.3,0.4,0.6,0.7
50,500,0.65,0.05,0.1,0.25,0.05,0.3,0.1,0.15,0.7,0.6,0.4,0.9,0.8,0.7,0.6,0.9
51,500,0.4,0.05,0.15,0.25,0.1,0.2,0.1,0.15,0.8,0.6,0.7,0.9,0.6,0.8,0.85,0.9
52,500,0.3,0.05,0.02,0.15,0.08,0.35,0.15,0.2,0.7,0.8,0.6,0.9,0.4,0.6,0.5,0.7
53,500,0.4,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.7,0.8,0.9,0.6,0.3,0.4,0.6,0.5
54,500,0.7,0.05,0.1,0.2,0.05,0.3,0.15,0.15,0.6,0.8,0.7,0.9,0.4,0.6,0.7,0.8
55,500,0.75,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.8,0.7,0.9,0.9,0.3,0.4,0.8,0.6
56,500,0.3,0.15,0.05,0.25,0.1,0.25,0.1,0.1,0.4,0.6,0.3,0.8,0.6,0.7,0.4,0.5
57,500,0.1,0.1,0.05,0.0,0.0,0.2,0.4,0.25,0.4,0.3,0.8,0.9,0.7,0.3,0.2,0.4
58,500,0.2,0.15,0.1,0.35,0.05,0.15,0.05,0.15,0.65,0.8,0.4,0.9,0.6,0.8,0.7,0.8
59,500,0.35,0.05,0.02,0.15,0.03,0.25,0.3,0.2,0.75,0.85,0.9,0.95,0.65,0.4,0.55,0.8
60,500,0.3,0.05,0.15,0.1,0.05,0.2,0.25,0.2,0.7,0.8,0.9,0.9,0.8,0.4,0.6,0.8
61,500,0.2,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.4,0.7,0.8,0.9,0.3,0.4,0.2,0.6
62,500,0.4,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.6,0.3,0.4,0.8,0.7,0.8,0.3,0.5
63,500,0.4,0.0,0.05,0.15,0.05,0.25,0.3,0.2,0.7,0.8,0.9,0.9,0.6,0.3,0.8,0.7
64,500,0.2,0.3,0.1,0.15,0.2,0.1,0.05,0.1,0.4,0.3,0.8,0.9,0.7,0.3,0.2,0.4
65,500,0.3,0.05,0.1,0.15,0.05,0.45,0.1,0.1,0.6,0.7,0.4,0.8,0.4,0.8,0.6,0.7
66,500,0.65,0.05,0.15,0.25,0.05,0.2,0.1,0.2,0.6,0.8,0.4,0.7,0.8,0.7,0.6,0.85
67,500,0.4,0.05,0.1,0.15,0.1,0.3,0.2,0.1,0.3,0.8,0.7,0.2,0.6,0.7,0.5,0.8
68,500,0.2,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.6,0.7,0.8,0.9,0.4,0.3,0.5,0.6
69,500,0.3,0.15,0.1,0.15,0.05,0.2,0.2,0.15,0.6,0.4,0.7,0.9,0.8,0.4,0.5,0.6
70,500,0.75,0.05,0.08,0.2,0.12,0.25,0.15,0.15,0.65,0.7,0.4,0.9,0.6,0.8,0.85,0.9
71,500,0.75,0.05,0.15,0.12,0.03,0.35,0.15,0.15,0.7,0.8,0.6,0.9,0.6,0.7,0.8,0.9
72,500,0.4,0.1,0.05,0.35,0.05,0.25,0.1,0.1,0.6,0.3,0.4,0.8,0.7,0.8,0.6,0.7
73,500,0.4,0.1,0.05,0.25,0.15,0.2,0.15,0.1,0.6,0.3,0.5,0.8,0.7,0.6,0.8,0.7
74,500,0.65,0.4,0.15,0.1,0.05,0.15,0.05,0.1,0.7,0.8,0.6,0.9,0.8,0.4,0.3,0.7
75,500,0.4,0.05,0.15,0.2,0.1,0.3,0.1,0.1,0.4,0.6,0.7,0.8,0.6,0.7,0.4,0.5
76,500,0.3,0.05,0.08,0.15,0.07,0.35,0.2,0.1,0.65,0.8,0.9,0.95,0.4,0.7,0.6,0.8
77,500,0.7,0.1,0.15,0.25,0.05,0.2,0.15,0.1,0.6,0.8,0.5,0.9,0.7,0.8,0.9,0.8
78,500,0.2,0.1,0.15,0.2,0.15,0.1,0.2,0.1,0.4,0.3,0.7,0.8,0.8,0.3,0.4,0.6
79,500,0.7,0.1,0.15,0.3,0.05,0.2,0.1,0.1,0.6,0.8,0.7,0.9,0.3,0.7,0.8,0.9
80,500,0.4,0.05,0.15,0.1,0.05,0.3,0.2,0.15,0.6,0.8,0.7,0.9,0.6,0.4,0.5,0.7
81,500,0.3,0.3,0.1,0.15,0.2,0.1,0.05,0.1,0.7,0.6,0.5,0.9,0.6,0.7,0.5,0.8
82,500,0.4,0.05,0.05,0.25,0.1,0.25,0.2,0.1,0.7,0.8,0.5,0.9,0.4,0.8,0.7,0.6
83,500,0.4,0.05,0.15,0.25,0.05,0.2,0.15,0.15,0.6,0.7,0.4,0.8,0.7,0.8,0.6,0.7
